Year,"Accidents (excl. suicide, sabotage, hijackings etc.)","Fatalities (excl. suicide, sabotage, hijackings etc.)","Accidents (incl. suicide, sabotage, hijackings etc.)","Fatalities (incl. suicide, sabotage, hijackings etc.)","Accidents with passenger flights (incl. suicide, sabotage, hijackings etc.)","Fatalities with passenger flights (incl. suicide, sabotage, hijackings etc.)","Accidents with passenger + cargo flights (incl. suicide, sabotage, hijackings etc.)","Fatalities with passenger + cargo flights (incl. suicide, sabotage, hijackings etc.)",World air traffic (departures),1 accident per x flights,Fatal accidents per million flights,Accidents with corporate jets (civilian),Fatalities with corporate jets (civilian),Corporate jets (civilian) – moving 5 year average # of accidents
1946,73,842,73,842,54,779,60,792,,,,,,
1947,82,1083,84,1093,53,994,72,1050,,,,,,
1948,99,1303,100,1328,63,1172,80,1234,,,,,,
1949,81,1109,84,1155,61,1076,72,1110,,,,,,
1950,71,1124,71,1124,46,1036,56,1064,,,,,,
1951,69,948,69,948,47,869,60,918,,,,,,
1952,61,783,62,784,33,672,50,726,,,,,,
1953,74,976,74,976,47,882,61,922,,,,,,
1954,56,707,57,717,36,650,46,681,,,,,,
1955,64,630,67,748,41,650,56,698,,,,,,
1956,58,850,58,850,33,770,44,799,,,,,,
1957,76,977,76,977,39,806,56,870,,,,,,
1958,75,1233,78,1252,46,1130,63,1186,,,,,,
1959,72,1075,73,1077,45,958,61,1024,,,,,,
1960,75,1484,77,1531,53,1406,61,1448,,,,,,
1961,64,1345,65,1423,38,1325,50,1367,,,,,,
1962,73,1770,75,1817,43,1657,57,1724,,,,1,3,
1963,57,1263,58,1265,36,1153,47,1199,,,,0,0,
1964,49,1016,52,1079,31,1018,43,1049,,,,0,0,
1965,58,1159,61,1263,36,1159,49,1225,,,,4,12,
1966,63,1467,64,1497,36,1380,48,1420,,,,4,10,1.8
1967,66,1342,67,1408,39,1272,51,1331,,,,3,7,2.2
1968,66,1398,66,1398,40,1304,55,1367,,,,4,15,3
1969,71,1676,73,1683,46,1565,66,1654,,,,8,33,4.6
1970,78,1476,80,1559,47,1400,60,1476,9448300,157472,6.35,4,11,4.6
1971,52,1445,56,1499,38,1429,47,1469,9504500,202223,4.95,3,12,4.4
1972,75,2389,79,2529,56,2432,65,2472,,,,7,27,5.2
1973,71,2033,78,2327,50,2226,61,2271,9764900,160080,6.25,8,31,6
1974,70,1997,75,2171,46,2068,58,2110,9254900,159567,6.27,9,32,6.2
1975,57,1193,58,1196,36,1124,43,1149,9244700,214993,4.65,2,4,5.8
1976,66,1627,71,1796,40,1648,51,1708,9562900,187508,5.33,7,36,6.6
1977,61,1645,62,1746,30,1627,51,1705,9915900,194429,5.14,11,47,7.4
1978,65,1263,68,1304,36,1203,41,1235,10183700,248383,4.03,6,18,7
1979,78,1778,81,1843,41,1683,55,1749,10653400,193698,5.16,8,31,6.8
1980,48,1299,50,1399,26,1310,33,1336,10704900,324391,3.08,11,28,8.6
1981,46,905,48,915,27,829,37,865,10270100,277570,3.6,7,29,8.6
1982,37,1175,37,1175,28,1116,31,1138,10335800,333413,3,6,41,7.6
1983,36,862,40,1381,29,1335,32,1347,10758700,336209,2.97,8,34,8
1984,40,683,40,683,21,591,30,639,11404000,380133,2.63,10,38,8.4
1985,42,2010,46,2454,30,2391,39,2421,11897900,305074,3.28,11,35,8.4
1986,45,828,49,968,32,878,38,897,12677000,333605,3,7,29,8.4
1987,46,1111,52,1341,31,1272,43,1316,13244800,308019,3.25,7,25,8.6
1988,59,1149,65,1754,40,1648,54,1710,13880900,257054,3.89,9,19,8.8
1989,65,1536,69,1822,40,1705,54,1773,14021100,259650,3.85,6,18,8
1990,48,664,50,792,28,706,42,756,14583900,347236,2.88,9,31,7.6
1991,54,1151,57,1176,28,1029,49,1148,14360900,293080,3.41,11,64,8.4
1992,61,1546,61,1546,33,1366,48,1494,14918800,310808,3.22,4,18,7.8
1993,51,1134,55,1271,33,1162,45,1235,15986200,355249,2.81,6,30,7.2
1994,59,1454,63,1490,34,1350,49,1435,17218900,351406,2.85,8,43,7.6
1995,58,1207,58,1207,35,1136,48,1181,18008200,375171,2.67,9,35,7.6
1996,57,1844,58,1969,29,1774,49,1925,18953600,386808,2.59,10,55,7.4
1997,47,1164,48,1268,31,1209,37,1240,19546600,528286,1.89,9,27,8.4
1998,47,1194,52,1338,26,1221,47,1330,19653200,418153,2.39,6,15,8.4
1999,44,478,48,706,26,617,43,689,20736600,482247,2.07,8,30,8.4
2000,43,1148,43,1148,27,1116,37,1139,22008658,594829,1.68,8,20,8.2
2001,36,879,40,1144,29,1104,36,1125,22264220,618451,1.62,9,37,8
2002,42,1000,43,1112,21,1015,33,1069,20817389,630830,1.59,5,12,7.2
2003,34,705,34,705,16,633,24,666,21282617,886776,1.13,10,21,8
2004,35,462,37,552,15,485,32,541,23752616,742269,1.35,7,27,7.8
2005,40,1075,40,1075,24,1015,34,1056,24228965,712617,1.4,6,23,7.4
2006,33,905,33,905,17,852,24,881,24843166,1035132,0.97,9,23,7.4
2007,32,774,35,790,18,694,30,772,26016011,867200,1.15,9,21,8.2
2008,35,595,35,595,16,523,26,552,25498093,980696,1.02,9,39,8
2009,32,763,32,763,12,677,23,725,26120525,1135675,0.88,4,11,7.4
2010,32,943,32,943,19,795,27,831,29637587,1097688,0.91,5,18,7.2
2011,36,525,36,525,23,473,32,511,30564579,955143,1.05,4,16,6.2
2012,24,477,25,478,11,396,18,418,30771268,1709515,0.58,6,26,5.6
2013,28,232,29,265,15,224,23,256,31116727,1352901,0.74,8,23,5.4
2014,20,692,21,990,8,925,18,961,32340000,1796667,0.56,11,52,6.8
2015,14,186,16,560,7,493,10,537,33272000,3327200,0.3,8,36,7.4
2016,17,258,19,325,11,288,16,303,34759000,2172438,0.46,4,14,7.4
2017,14,59,14,59,5,31,10,44,36348000,3634800,0.28,7,24,7.6
2018,18,561,19,562,11,542,14,555,37795000,2699643,0.37,7,26,7.4
2019,23,287,23,287,14,267,20,283,39000000,1950000,0.51,8,27,6.8
2020,1,3,2,179,1,176,1,176,,,,1,3,
TOTAL,3881,80039,4046,86822,2388,79716,3231,83302,,,,396,1472,
